"id","createdAt","userUid","boothId"
1,"2023-08-24 03:24:23.451052",lUVpvO5LlZf0t1L2kRkWfYcMHns1,6
2,"2023-08-24 03:24:51.412623",lUVpvO5LlZf0t1L2kRkWfYcMHns1,14
3,"2023-08-24 03:25:06.514616",lUVpvO5LlZf0t1L2kRkWfYcMHns1,1
4,"2023-08-24 03:25:16.277455",lUVpvO5LlZf0t1L2kRkWfYcMHns1,1
5,"2023-08-24 03:25:29.523207",lUVpvO5LlZf0t1L2kRkWfYcMHns1,3
6,"2023-08-24 03:25:32.906558",lUVpvO5LlZf0t1L2kRkWfYcMHns1,3
7,"2023-08-24 03:25:35.418926",lUVpvO5LlZf0t1L2kRkWfYcMHns1,3
8,"2023-08-24 03:25:37.969937",lUVpvO5LlZf0t1L2kRkWfYcMHns1,3
9,"2023-08-24 12:04:52.367623",XGzCUyeQclOvNUC3u5RZBFDSL952,1
10,"2023-08-24 12:04:54.268633",XGzCUyeQclOvNUC3u5RZBFDSL952,1
11,"2023-08-24 12:05:06.725440",XGzCUyeQclOvNUC3u5RZBFDSL952,2
12,"2023-08-24 12:05:16.971309",XGzCUyeQclOvNUC3u5RZBFDSL952,2
13,"2023-08-24 12:05:27.112058",XGzCUyeQclOvNUC3u5RZBFDSL952,3
14,"2023-08-24 12:06:02.440399",XGzCUyeQclOvNUC3u5RZBFDSL952,4
15,"2023-08-24 12:06:17.560916",XGzCUyeQclOvNUC3u5RZBFDSL952,5
16,"2023-08-24 12:06:30.037839",XGzCUyeQclOvNUC3u5RZBFDSL952,6
17,"2023-08-24 12:06:41.961659",XGzCUyeQclOvNUC3u5RZBFDSL952,7
18,"2023-08-24 12:06:54.058516",XGzCUyeQclOvNUC3u5RZBFDSL952,8
19,"2023-08-24 12:06:57.148557",XGzCUyeQclOvNUC3u5RZBFDSL952,8
20,"2023-08-24 12:06:59.878931",XGzCUyeQclOvNUC3u5RZBFDSL952,8
21,"2023-08-24 12:07:12.477648",XGzCUyeQclOvNUC3u5RZBFDSL952,9
22,"2023-08-24 12:07:14.080871",XGzCUyeQclOvNUC3u5RZBFDSL952,9
23,"2023-08-24 12:07:33.486501",XGzCUyeQclOvNUC3u5RZBFDSL952,10
24,"2023-08-24 12:07:47.812658",XGzCUyeQclOvNUC3u5RZBFDSL952,12
26,"2023-08-24 22:46:00.895402",lUVpvO5LlZf0t1L2kRkWfYcMHns1,2
27,"2023-08-24 22:46:16.246013",lUVpvO5LlZf0t1L2kRkWfYcMHns1,3
28,"2023-08-24 22:46:30.775576",lUVpvO5LlZf0t1L2kRkWfYcMHns1,4
29,"2023-08-24 22:46:50.039335",lUVpvO5LlZf0t1L2kRkWfYcMHns1,5
30,"2023-08-24 22:47:04.305998",lUVpvO5LlZf0t1L2kRkWfYcMHns1,6
31,"2023-08-24 22:47:21.057241",lUVpvO5LlZf0t1L2kRkWfYcMHns1,7
33,"2023-08-24 22:48:16.656315",lUVpvO5LlZf0t1L2kRkWfYcMHns1,13
34,"2023-08-25 11:45:34.655287",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
35,"2023-08-25 11:45:38.781547",WNuBPjqvWvQnsePAuxgAFT0yy5E3,1
36,"2023-08-25 11:48:04.719769",WNuBPjqvWvQnsePAuxgAFT0yy5E3,2
38,"2023-08-25 11:51:40.986940",kfGBHNOl3DRL5QFmqHny85w5ZIY2,14
39,"2023-08-25 11:51:48.363774",kfGBHNOl3DRL5QFmqHny85w5ZIY2,12
40,"2023-08-25 11:52:02.603557",kfGBHNOl3DRL5QFmqHny85w5ZIY2,4
41,"2023-08-25 11:52:12.617007",kfGBHNOl3DRL5QFmqHny85w5ZIY2,5
42,"2023-08-25 11:52:23.066783",kfGBHNOl3DRL5QFmqHny85w5ZIY2,6
43,"2023-08-25 11:52:30.219794",kfGBHNOl3DRL5QFmqHny85w5ZIY2,7
44,"2023-08-25 11:52:55.625796",kfGBHNOl3DRL5QFmqHny85w5ZIY2,9
45,"2023-08-25 11:53:27.953515",kfGBHNOl3DRL5QFmqHny85w5ZIY2,8
46,"2023-08-25 11:54:44.479918",kfGBHNOl3DRL5QFmqHny85w5ZIY2,2
47,"2023-08-25 11:55:17.461025",kfGBHNOl3DRL5QFmqHny85w5ZIY2,3
48,"2023-08-25 11:55:56.793635",kfGBHNOl3DRL5QFmqHny85w5ZIY2,10
49,"2023-08-25 11:56:06.836893",kfGBHNOl3DRL5QFmqHny85w5ZIY2,11
50,"2023-08-25 11:56:19.620433",kfGBHNOl3DRL5QFmqHny85w5ZIY2,13
51,"2023-08-25 16:42:34.461988",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
52,"2023-08-25 16:42:36.442984",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
53,"2023-08-25 16:42:38.321526",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
54,"2023-08-25 16:42:41.010496",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
55,"2023-08-25 16:42:46.274270",kfGBHNOl3DRL5QFmqHny85w5ZIY2,1
56,"2023-08-25 16:42:53.809749",kfGBHNOl3DRL5QFmqHny85w5ZIY2,2
57,"2023-08-25 16:42:55.433721",kfGBHNOl3DRL5QFmqHny85w5ZIY2,2
58,"2023-08-25 16:42:57.045891",kfGBHNOl3DRL5QFmqHny85w5ZIY2,2
59,"2023-08-25 16:43:10.203070",kfGBHNOl3DRL5QFmqHny85w5ZIY2,3
60,"2023-08-25 16:43:18.780793",kfGBHNOl3DRL5QFmqHny85w5ZIY2,4
61,"2023-08-25 16:43:26.082810",kfGBHNOl3DRL5QFmqHny85w5ZIY2,5
62,"2023-08-25 16:43:37.023774",kfGBHNOl3DRL5QFmqHny85w5ZIY2,6
63,"2023-08-25 16:43:54.432700",kfGBHNOl3DRL5QFmqHny85w5ZIY2,7
64,"2023-08-25 16:44:08.410519",kfGBHNOl3DRL5QFmqHny85w5ZIY2,8
65,"2023-08-25 16:44:17.927036",kfGBHNOl3DRL5QFmqHny85w5ZIY2,9
66,"2023-08-25 16:44:28.226929",kfGBHNOl3DRL5QFmqHny85w5ZIY2,10
67,"2023-08-25 16:44:37.514224",kfGBHNOl3DRL5QFmqHny85w5ZIY2,10
68,"2023-08-25 16:44:51.116243",kfGBHNOl3DRL5QFmqHny85w5ZIY2,11
69,"2023-08-25 16:44:59.759300",kfGBHNOl3DRL5QFmqHny85w5ZIY2,12
70,"2023-08-25 16:45:11.714678",kfGBHNOl3DRL5QFmqHny85w5ZIY2,12
71,"2023-08-25 16:45:18.366125",kfGBHNOl3DRL5QFmqHny85w5ZIY2,13
72,"2023-08-25 16:45:26.635585",kfGBHNOl3DRL5QFmqHny85w5ZIY2,14
73,"2023-08-25 16:47:13.707370",tAIDqvXphVba9MUjMSVVQ7rLelp1,2
74,"2023-08-25 16:47:54.245352",tAIDqvXphVba9MUjMSVVQ7rLelp1,4
75,"2023-08-25 16:48:31.920162",tAIDqvXphVba9MUjMSVVQ7rLelp1,14
76,"2023-08-25 16:48:56.115607",tAIDqvXphVba9MUjMSVVQ7rLelp1,10
77,"2023-08-25 16:49:16.263266",tAIDqvXphVba9MUjMSVVQ7rLelp1,1
78,"2023-08-25 16:49:53.947096",tAIDqvXphVba9MUjMSVVQ7rLelp1,3
79,"2023-08-25 16:50:29.523041",tAIDqvXphVba9MUjMSVVQ7rLelp1,8
80,"2023-08-25 16:51:04.085525",tAIDqvXphVba9MUjMSVVQ7rLelp1,12
81,"2023-08-25 16:51:40.059910",tAIDqvXphVba9MUjMSVVQ7rLelp1,11
82,"2023-08-25 16:53:25.318078",tAIDqvXphVba9MUjMSVVQ7rLelp1,6
83,"2023-08-25 16:53:46.839385",tAIDqvXphVba9MUjMSVVQ7rLelp1,5
84,"2023-08-25 16:54:07.743973",tAIDqvXphVba9MUjMSVVQ7rLelp1,5
85,"2023-08-25 16:55:31.620690",tAIDqvXphVba9MUjMSVVQ7rLelp1,7
86,"2023-08-25 16:55:34.041760",tAIDqvXphVba9MUjMSVVQ7rLelp1,7
